hostname,hasFingerprinting,hasSecurityAttribute,blocked
videosdeputas.xxx,false,false,false
coolpc.com.tw,false,false,false
reimu.net,false,false,false
mericasads.com,false,false,true
samatika.com,false,false,false
sm.de,false,false,false
freep.com,false,false,false
bnf.fr,false,false,false
yooying.com,false,false,false
kissdrama.club,false,true,false
zedge.net,false,false,false
ecourts.gov.in,false,false,false
gorodrabot.ru,false,false,false
5movies.to,false,true,false
imperial.ac.uk,false,false,false
ticketfly.com,false,false,false
allover30.com,false,false,false
za.gl,false,false,false
putlockers.fm,false,true,false
buenastareas.com,false,true,false
epey.com,false,false,false
bookfi.net,false,false,false
filmstarts.de,false,false,false
aconvert.com,false,false,false
address.gov.sa,false,false,false
twrp.me,false,false,false
webmasterplan.com,true,false,true
franceculture.fr,false,false,false
komputerswiat.pl,false,false,false
xcar.com.cn,false,false,false
unal.edu.co,false,false,false
pinterest.cl,false,false,false
90sheji.com,false,false,false
cdkeys.com,true,false,false
pearvideo.com,false,false,false
matamata.com,false,false,false
medi1tv.ma,false,false,false
fanlibang.com,false,false,false
steamcharts.com,false,false,false
benesse.ne.jp,false,false,false
snob.ru,true,false,false
eu.freep.com,false,false,false
tothemaonline.com,true,false,false
torrentsearchweb.cc,false,false,false
kinonews.ru,false,false,false
bpiexpressonline.com,false,false,false
comicbookmovie.com,false,false,false
didestan.com,true,true,false
yiibai.com,false,false,false
p-bandai.jp,false,false,false
bankier.pl,true,false,false
hoopchina.com.cn,false,false,false
f5haber.com,false,false,false
300mbfilms.co,false,false,false
cedyna.co.jp,false,false,false
lifehacker.jp,true,false,false
citibank.com,true,true,false
ad.benesse.ne.jp,false,false,false
asx.com.au,false,false,false
cloudforce.com,false,false,false
nba.hupu.com,false,false,false
vsemayki.ru,false,false,false
chinaweiyu.com,false,false,false
online.citi.com,true,true,false
en.bookfi.net,false,false,false
netvibes.com,false,false,false
installflesh3.com,false,false,false
expedia.de,false,false,true
rulentanew.com,false,false,false
codecguide.com,false,false,false
proporn.com,false,false,false
hastanerandevu.gov.tr,false,false,false
rgho.st,false,false,false
salesforce.com,false,false,false
elephant-ads.com,false,false,false
coffetube.com,false,false,false
mdsaude.com,false,false,false
flightrising.com,false,false,false
newdaynews.ru,true,true,false
8xfilms.me,true,true,false
bdo.com.ph,false,false,false
tettybetty.com,true,true,false
rlsnet.ru,false,false,false
duxiu.com,false,false,false
10jqka.com.cn,false,false,false
osha.gov,false,false,false
soescola.com,false,false,false
mp3mine.com,false,false,false
milfzr.com,true,true,false
twilog.org,false,false,false
www1.flightrising.com,false,false,false
brandsoftheworld.com,false,false,false
garena.vn,false,false,false
viuly.io,true,false,false
syrahost.com,false,false,false
gdm.or.jp,false,false,false
grapee.jp,false,false,false
mo.gov,false,true,false
mag2.com,false,false,false
sokmil.com,true,true,false
anz.co.nz,false,false,false
mailtrack.io,false,false,false
em.com.br,false,false,false
povar.ru,false,false,false
freemusicarchive.org,false,false,false
podbean.com,false,false,false
kodi.tv,false,false,false
joox.com,true,true,false
speed-open2.com,false,false,false
lelong.com.my,true,false,false
kmplayer.com,false,false,false
crazydomains.com.au,false,false,false
qpdownload.com,false,false,false
nirsoft.net,false,false,false
indiaresults.com,false,false,false
reserved.com,false,false,false
hmv.co.jp,false,false,false
adultwork.com,false,false,false
rmz.cr,false,false,false
r2games.com,false,false,false
jvpnews.com,true,true,false
yabaleftonline.ng,false,false,false
voiranime.tv,false,false,true
piraeusbank.gr,false,true,false
mrexcel.com,false,false,false
sc518.com,false,false,false
feedspot.com,false,false,false
prisjakt.nu,false,false,false
myfedloan.org,false,false,false
4gamers.com.tw,false,false,false
missouri.edu,false,false,false
netizenbuzz.blogspot.com,false,false,false
tigerdirect.com,false,false,false
vakifbank.com.tr,false,false,false
pinkoi.com,false,false,false
smarturl.it,true,true,false
liveonlineradio.net,false,false,false
chrono.gg,true,true,false
samaa.tv,false,false,false
dartmouth.edu,false,false,false
metrotvnews.com,false,false,false
pfrf.ru,false,false,false
ke.com,false,false,false
manage.smarturl.it,true,true,false
convio.net,false,false,false
extrastores.com,true,false,false
home.dartmouth.edu,false,false,false
deakin.edu.au,false,false,false
mediamarkt.pl,true,false,true
en.pinkoi.com,false,false,false
convio.com,false,false,false
flv2mp3.by,false,false,false
smm.cn,false,false,false
tomsguide.fr,true,true,false
autobild.de,false,false,false
catracalivre.com.br,true,false,false
senate.gov,false,false,true
jupyter.org,false,false,false
pornomovies.com,false,false,false
bananamall.co.kr,false,false,false
grabon.in,false,false,false
countryliving.com,false,false,false
ttu.edu,false,false,false
shagle.com,true,false,false
viceland.com,false,false,false
seeklogo.com,false,false,false
depor.com,false,false,false
tcsion.com,false,false,false
resellerclub.com,false,false,false
rainews.it,false,false,false
surfline.com,false,false,false
storetorrents.com,false,false,false
libertatea.ro,true,false,false
tunefind.com,true,true,false
tgmgo.com,false,false,false
saorg.ir,false,false,false
vfsvisaonline.com,false,false,false
usa.gov,false,false,false
metacafe.com,false,false,false
chowhound.com,false,false,false
epainassist.com,false,false,false
woxikon.de,false,false,false
oabt004.com,false,false,false
anonymz.com,false,false,false
orlandosentinel.com,false,false,false
justice.gov,false,false,false
sq.cn,false,false,false
playbuzz.com,false,false,false
newsday.com,false,false,false
chyxx.com,false,false,false
tuniscope.com,false,false,false
picclick.co.uk,false,false,false
miwifi.com,false,false,false
hvg.hu,true,false,false
cnhubei.com,false,false,false
webaula.com.br,false,false,false
morele.net,true,false,false
urcosme.com,false,false,false
etao.com,false,true,false
clasohlson.com,true,false,false
lesoir.be,false,false,false
phonandroid.com,true,true,false
xuk.mobi,false,false,false
mindbodygreen.com,true,false,false
wikiloc.com,false,false,false
sololearn.com,false,false,false
voegol.com.br,true,true,false
nagariknetwork.com,false,false,false
threedrive.su,false,false,false
c4dsky.com,false,false,false
126.net,false,false,false
moh.gov.sa,false,false,false
melodrama1.com,false,false,false
amaporn.com,false,false,false
nzz.ch,false,false,false
arbitr.ru,false,false,false
wago.io,false,false,false
iloveimg.com,false,false,false
electrek.co,false,false,false
securecode.com,false,false,false
ab4hr.com,false,false,false
en-gage.net,false,false,false
zip-extractor.appspot.com,false,false,false
elliberal.com.ar,false,false,false
norisbank.de,false,false,false
serienjunkies.org,false,false,false
promodj.com,false,false,false
cfainstitute.org,false,false,false
epinv.com,false,false,false
alight.com,false,false,false
telecharger-videos-youtube.com,false,false,false
timesofisrael.com,false,false,false
typingtest.com,false,false,false
myportfolio.com,false,false,false
mercadolibre.com.ec,true,false,false
mastercard.us,false,false,false
coolors.co,false,false,false
chanel.com,false,false,false
gledalica.com,false,true,false
extratorrent.si,false,false,false
duote.com,false,false,false
briian.com,false,false,false
damai.cn,false,true,false
neoseeker.com,false,false,false
nicmusic.net,false,false,false
daftporn.com,false,false,false
oriflame.ru,true,false,false
royalcaribbean.com,false,false,false
politfox.ru,false,false,true
microsoftcasualgames.com,false,false,false
tomovie.net,false,false,false
mediotiempo.com,false,false,false
portfolio.adobe.com,false,true,false
postype.com,false,false,false
telnavi.jp,false,false,false
download.com.vn,false,false,false
educacao.uol.com.br,true,false,false
variflight.com,false,false,false
teamup.com,false,false,false
spcs.me,false,true,false
cartooncrazy.net,false,false,true
okaytab.com,false,false,false
islamway.net,false,false,false
shape.com,false,false,true
akhbaralaan.net,false,false,false
digitalplayground.com,false,false,false
phoenixads.co.in,false,false,false
mrvideospornogratis.xxx,false,false,false
ugr.es,false,false,false
apost.com,false,false,false
emis.gov.eg,false,false,false
acg18.us,false,false,false
riperam.org,false,false,true
sovets.net,false,false,false
ar.islamway.net,false,false,false
techinasia.com,false,true,false
ilovematlab.cn,false,false,false
meishij.net,false,false,false
plaisio.gr,false,false,false
home8080.cn,false,false,false
heart.org,false,false,false
karnataka.gov.in,false,false,false
officeholidays.com,false,false,false
auchan.fr,false,false,false
500.com,false,false,false
sebrae.com.br,false,false,false
mcmaster.ca,false,false,false
lolking.net,false,false,false
tvtc.gov.sa,false,false,false
wayfair.ca,true,true,true
downsub.com,true,false,false
genbeta.com,false,false,false
tikona.in,false,false,false
noticias24.com,false,false,false
charter97.org,false,false,false
hochi.co.jp,false,false,false
lasestrellas.tv,true,false,false
abidjan.net,false,false,false
xinnet.com,false,false,false
wyndhamhotels.com,false,false,true
haixombia.com,false,false,false
pagesperso-orange.fr,false,false,false
appdatum.com,false,false,false
gaoqingkong.com,false,false,false
easyfileconvert.com,false,false,true
prodigygame.com,false,false,false
hostinger.com,true,true,false
pp.auto.ke.orange.fr,false,false,false
rawqq.com,false,true,false
shopstyle.co.uk,false,true,false
llbean.com,false,false,false
shareasale-analytics.com,false,false,false
apkhome.net,false,false,false
sosh.fr,false,false,false
gooool.org,false,false,false
gyakorikerdesek.hu,false,false,false
drive.ru,false,false,false
85nian.net,false,false,false
anibis.ch,false,true,false
hdlava.me,false,false,false
clevelandclinic.org,false,false,false
givingassistant.org,true,false,false
royallib.com,false,false,false
shareasale.com,false,false,false
avid.com,false,false,false
opodo.de,false,false,false
filmesetorrent.net,false,false,false
global.llbean.com,false,false,false
hhs.gov,false,false,false
sportsnet.ca,false,false,false
wook.pt,true,false,false
olx.com.ar,true,false,true
my.clevelandclinic.org,false,false,false
malaysiaairlines.com,true,true,false
dr.com.tr,false,false,false
laizquierdadiario.com,false,false,false
game.co.uk,true,false,false
medcom.id,false,false,false
bestlifeonline.com,true,true,false
luxuretv.com,false,false,false
boards.ie,false,false,true
wartaekonomi.co.id,false,false,false
aspor.com.tr,false,false,false
