IP,PORT,CODE,COUNTRY,HTTPS
85.235.190.18,42494,RU,Russian Federation,no
45.113.66.81,53738,IN,India,no
118.174.232.187,40721,TH,Thailand,yes
114.6.63.66,44880,ID,Indonesia,no
154.73.65.125,48108,TZ,Tanzania,no
36.89.194.141,60493,ID,Indonesia,yes
210.61.216.66,60209,TW,Taiwan,no
36.91.55.90,3128,ID,Indonesia,no
95.158.62.178,51332,UA,Ukraine,no
134.249.142.70,47204,UA,Ukraine,no
103.119.247.13,61006,IN,India,no
46.214.146.60,8888,RO,Romania,no
185.31.163.21,35786,RU,Russian Federation,no
185.125.120.133,54258,BA,Bosnia and Herzegovina,no
54.39.176.30,3128,CA,Canada,yes
190.147.33.214,53743,CO,Colombia,no
24.138.243.38,43577,PR,Puerto Rico,yes
190.152.71.122,21231,EC,Ecuador,no
114.109.22.32,37622,TH,Thailand,yes
131.161.68.37,31264,BR,Brazil,no
183.87.153.98,49602,IN,India,no
190.152.36.34,39713,EC,Ecuador,yes
5.190.62.65,36695,IR,Iran,yes
178.161.150.46,31765,RU,Russian Federation,yes
121.101.191.10,47750,ID,Indonesia,no
95.158.47.79,52761,UA,Ukraine,yes
212.47.249.126,8118,FR,France,no
41.138.208.193,56148,UG,Uganda,no
101.109.143.97,45796,TH,Thailand,yes
190.184.201.123,38559,CO,Colombia,yes
122.49.112.2,38592,KR,Korea,no
181.129.62.18,44415,CO,Colombia,no
62.122.140.30,56932,TJ,Tajikistan,yes
186.47.72.198,65103,EC,Ecuador,yes
88.150.135.10,36624,GB,United Kingdom,no
47.180.170.42,53281,US,United States,yes
119.82.253.200,55428,KH,Cambodia,yes
181.196.145.106,35849,EC,Ecuador,yes
113.130.126.232,55360,KH,Cambodia,yes
95.158.62.112,44226,UA,Ukraine,yes
122.117.65.107,49335,TW,Taiwan,yes
212.66.34.240,39800,UA,Ukraine,yes
181.129.47.26,51119,CO,Colombia,yes
167.249.161.13,53588,BR,Brazil,yes
45.5.94.37,48219,MX,Mexico,no
170.233.48.12,53281,BR,Brazil,yes
36.255.242.6,46352,IN,India,yes
186.1.47.11,33892,NI,Nicaragua,yes
96.9.88.49,39566,KH,Cambodia,yes
103.252.184.25,53281,IN,India,no
195.234.87.211,53281,BG,Bulgaria,yes
202.148.31.46,60931,ID,Indonesia,yes
103.83.205.57,34762,BD,Bangladesh,yes
185.208.100.197,59732,TR,Turkey,no
74.132.135.242,60242,US,United States,yes
113.164.79.177,46281,VN,Vietnam,no
190.214.53.66,40218,EC,Ecuador,no
169.50.180.250,3128,US,United States,yes
217.9.94.190,8080,RU,Russian Federation,yes
94.177.225.36,8181,DE,Germany,yes
189.1.16.162,23500,BR,Brazil,yes
